Model,MAE,RMSE,R2
Random Forest,7247.315613686934,16315.79531864732,0.9577214327885359
XGBoost,9360.952632119925,17327.24022118109,0.9523171113961656
Gradient Boosting,15712.777687214691,25562.268317244787,0.8962226581819863
